NCM;DESCRICAO
03027;- Til pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabe a-de-serpente (Channa spp.), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
03027100;-- Til pias (Oreochromis spp.)
030272;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)
03027210;Bagre americano (Ictalurus punctatus)
03027290;Outros
03027300;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)
03027400;-- Enguias (Anguilla spp.)
03027900;-- Outros
03028;- Outros peixes, exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
03028100;-- Ca  o e outros tubar es
03028200;-- Raias (Rajidae)
030283;-- Merluza negra e merluza ant rtica (Marlongas*) (Dissostichus spp.)
03028310;Merluza negra (Dissostichus eleginoides)
03028320;Merluza ant rtica (Dissostichus mawsoni)
03028400;-- Robalos (Dicentrarchus spp.)
03028500;-- Espar deos (Sparidae)
030289;-- Outros
03028910;Pargo (Lutjanus purpureus)
0302892;Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), esturj o (Acipenser baerii) e peixes-rei (Atherina spp.)
03028921;Cherne-poveiro (Polyprion americanus)
03028922;Garoupas (Acanthistius spp.)
03028923;Esturj o (Acipenser baerii)
03028924;Peixes-rei (Atherina spp.)
0302893;"Curimat s (Prochilodus spp.), til pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h bridos), surubins (Pseudoplatystoma spp.), tra ra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.), tainhas (Mugil spp.), pirarucu (Arapaima gigas) e pescadas (Cynoscion spp.)"
03028931;Curimat s (Prochilodus spp.)
03028932;"Til pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h bridos)"
03028933;Surubins (Pseudoplatystoma spp.)
03028934;Tra ra (Hoplias malabaricus & H. cf. lacerdae)
03028935;Piaus (Leporinus spp.)
03028936;Tainhas (Mugil spp.)
03028937;Pirarucu (Arapaima gigas)
03028938;Pescadas (Cynoscion spp.)
0302894;Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (h brido de tambaqui e pacu)
03028941;Piramutaba (Brachyplatystoma vaillantii)
03028942;Dourada (Brachyplatystoma flavicans)
03028943;Pacu (Piaractus mesopotamicus)
03028944;Tambaqui (Colossoma macropomum)
03028945;Tambacu (h brido de tambaqui e pacu)
03028990;Outros
03029;- F gados, ovas, g nadas masculinas, barbatanas, cabe as, caudas, bexigas-natat rias e outros subprodutos comest veis de peixes:
030291;-- F gados, ovas e g nadas masculinas
03029110;Ovas de tainhas (Mugil spp.)
03029190;Outros
03029200;-- Barbatanas de tubar o
03029900;-- Outros
0303;Peixes congelados, exceto os fil s (filetes) de peixes e outra carne de peixes da posi  o 03.04.
03031;- Salmon deos, exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
03031100;-- Salm o-do-pac fico (salm o-vermelho) (Oncorhynchus nerka)
03031200;-- Outros salm es-do-pac fico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)
03031300;-- Salm o-do-atl ntico (Salmo salar) e salm o-do-dan bio (Hucho hucho)
